model,mean_input_tokens,mean_output_tokens,num_concurrent_requests,results_ttft_s_quantiles_p90,results_end_to_end_latency_s_quantiles_p90,results_mean_output_throughput_token_per_s,results_num_completed_requests_per_min
Qwen/Qwen2.5-3B-Instruct,256,2048,160,3.708905208250522,407.30125163588673,905.5557221127141,21.901872237573265
Qwen/Qwen2.5-3B-Instruct,256,2048,100,1.5424612395931037,319.47686153361576,720.4731640150118,17.41103942134259
Qwen/Qwen2.5-3B-Instruct,256,2048,50,0.9472022116649903,257.5187560894061,438.347819452056,10.707698119303167
Qwen/Qwen2.5-3B-Instruct,256,2048,64,1.0616301324684174,269.9604956845753,544.5815411965888,13.027771436335847
Qwen/Qwen2.5-3B-Instruct,256,2048,1,0.4060354785528034,119.40539630153216,21.01713372279481,0.5082331224277319
Qwen/Qwen2.5-3B-Instruct,256,2048,128,3.32513428661041,349.4221721383743,834.0889796114482,20.24951789246791
Qwen/Qwen2.5-3B-Instruct,512,2048,1,0.2893049559555948,120.61749933790415,22.13906215717411,0.5086126773482584
